Timestamp,Frequencia_MHz,RSSI_dBm
2025-11-23T16:15:42.283586,437.8,-88
2025-11-23T16:15:42.288644,437.9,-87
2025-11-23T16:15:42.293587,438.0,-89
2025-11-23T16:15:42.298586,438.1,-89
2025-11-23T16:15:42.303622,438.2,-89
2025-11-23T16:15:42.308608,438.3,-89
2025-11-23T16:15:42.313583,438.4,-91
2025-11-23T16:15:42.318592,438.5,-90
2025-11-23T16:15:42.323650,438.6,-89
2025-11-23T16:15:42.328585,438.7,-91
2025-11-23T16:15:42.333600,438.8,-90
2025-11-23T16:15:42.338628,438.9,-90
2025-11-23T16:15:42.343598,439.0,-87
2025-11-23T16:15:42.348579,439.1,-87
2025-11-23T16:15:42.353630,439.2,-90
2025-11-23T16:15:42.358619,439.3,-87
2025-11-23T16:15:42.363586,439.4,-87
2025-11-23T16:15:42.368601,439.5,-91
2025-11-23T16:15:42.373619,439.6,-88
2025-11-23T16:15:42.378593,439.7,-85
2025-11-23T16:15:42.383605,439.8,-89
2025-11-23T16:15:42.388633,439.9,-85
2025-11-23T16:15:42.396435,440.0,-85
2025-11-23T16:15:42.898627,430.0,-84
2025-11-23T16:15:42.903685,430.1,-83
2025-11-23T16:15:42.908599,430.2,-84
2025-11-23T16:15:42.913607,430.3,-84
2025-11-23T16:15:42.918614,430.4,-86
2025-11-23T16:15:42.923631,430.5,-87
2025-11-23T16:15:42.928583,430.6,-88
2025-11-23T16:15:42.933603,430.7,-87
2025-11-23T16:15:42.938628,430.8,-93
2025-11-23T16:15:42.943598,430.9,-86
2025-11-23T16:15:42.948614,431.0,-88
2025-11-23T16:15:42.954639,431.1,-89
2025-11-23T16:15:42.958765,431.2,-87
2025-11-23T16:15:42.963651,431.3,-89
2025-11-23T16:15:42.968620,431.4,-87
2025-11-23T16:15:42.973672,431.5,-86
2025-11-23T16:15:42.978732,431.6,-91
2025-11-23T16:15:42.983667,431.7,-89
2025-11-23T16:15:42.989381,431.8,-85
2025-11-23T16:15:42.993619,431.9,-86
2025-11-23T16:15:42.998602,432.0,-86
2025-11-23T16:15:43.003656,432.1,-90
2025-11-23T16:15:43.008601,432.2,-87
2025-11-23T16:15:43.013620,432.3,-86
2025-11-23T16:15:43.018586,432.4,-86
2025-11-23T16:15:43.023620,432.5,-89
2025-11-23T16:15:43.028582,432.6,-84
2025-11-23T16:15:43.033604,432.7,-85
2025-11-23T16:15:43.038648,432.8,-84
2025-11-23T16:15:43.043600,432.9,-83
2025-11-23T16:15:43.048616,433.0,-87
2025-11-23T16:15:43.053628,433.1,-84
2025-11-23T16:15:43.058618,433.2,-86
2025-11-23T16:15:43.063590,433.3,-88
2025-11-23T16:15:43.068681,433.4,-87
2025-11-23T16:15:43.073604,433.5,-89
2025-11-23T16:15:43.078601,433.6,-89
2025-11-23T16:15:43.083617,433.7,-89
2025-11-23T16:15:43.088683,433.8,-86
2025-11-23T16:15:43.093634,433.9,-91
2025-11-23T16:15:43.098600,434.0,-86
2025-11-23T16:15:43.103638,434.1,-88
2025-11-23T16:15:43.108602,434.2,-90
2025-11-23T16:15:43.113607,434.3,-88
2025-11-23T16:15:43.118612,434.4,-91
2025-11-23T16:15:43.123639,434.5,-89
2025-11-23T16:15:43.128604,434.6,-90
2025-11-23T16:15:43.133605,434.7,-90
2025-11-23T16:15:43.138660,434.8,-88
2025-11-23T16:15:43.143608,434.9,-91
2025-11-23T16:15:43.148619,435.0,-87
2025-11-23T16:15:43.153645,435.1,-91
2025-11-23T16:15:43.158620,435.2,-87
2025-11-23T16:15:43.163602,435.3,-92
2025-11-23T16:15:43.168637,435.4,-86
2025-11-23T16:15:43.173609,435.5,-84
2025-11-23T16:15:43.178606,435.6,-89
2025-11-23T16:15:43.183589,435.7,-88
2025-11-23T16:15:43.188701,435.8,-88
2025-11-23T16:15:43.193583,435.9,-89
2025-11-23T16:15:43.198601,436.0,-87
2025-11-23T16:15:43.203650,436.1,-85
2025-11-23T16:15:43.208601,436.2,-89
2025-11-23T16:15:43.213615,436.3,-87
2025-11-23T16:15:43.218594,436.4,-86
2025-11-23T16:15:43.223618,436.5,-88
2025-11-23T16:15:43.228594,436.6,-89
2025-11-23T16:15:43.233606,436.7,-89
2025-11-23T16:15:43.238623,436.8,-90
2025-11-23T16:15:43.243657,436.9,-89
2025-11-23T16:15:43.248644,437.0,-89
2025-11-23T16:15:43.253661,437.1,-87
2025-11-23T16:15:43.258693,437.2,-89
2025-11-23T16:15:43.263653,437.3,-89
2025-11-23T16:15:43.268687,437.4,-86
2025-11-23T16:15:43.273941,437.5,-86
2025-11-23T16:15:43.280449,437.6,-89
2025-11-23T16:15:43.283601,437.7,-89
2025-11-23T16:15:43.288685,437.8,-90
2025-11-23T16:15:43.293945,437.9,-90
2025-11-23T16:15:43.298640,438.0,-88
2025-11-23T16:15:43.303641,438.1,-89
2025-11-23T16:15:43.308622,438.2,-90
2025-11-23T16:15:43.313600,438.3,-89
2025-11-23T16:15:43.318607,438.4,-91
2025-11-23T16:15:43.323615,438.5,-89
2025-11-23T16:15:43.328608,438.6,-91
2025-11-23T16:15:43.333587,438.7,-91
2025-11-23T16:15:43.338681,438.8,-87
2025-11-23T16:15:43.343593,438.9,-94
2025-11-23T16:15:43.348603,439.0,-90
2025-11-23T16:15:43.353637,439.1,-87
2025-11-23T16:15:43.358598,439.2,-92
